"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
170680,29,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"330",TRUE,FALSE,"Marchman","Primary","production",310,TRUE,"All Data",1092,"All Data (n = 1092)"
170681,30,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"331",TRUE,FALSE,"Marchman","Secondary","production",426,TRUE,"All Data",1092,"All Data (n = 1092)"
170682,29,"Spanish (Mexican)","WS","First",NA,"Female",NA,"332",TRUE,FALSE,"Marchman","College","production",643,TRUE,"All Data",1092,"All Data (n = 1092)"
170683,30,"Spanish (Mexican)","WS","First",NA,"Female",NA,"334",TRUE,FALSE,"Marchman","Secondary","production",528,TRUE,"All Data",1092,"All Data (n = 1092)"
170684,23,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"335",TRUE,FALSE,"Marchman","Secondary","production",38,TRUE,"All Data",1092,"All Data (n = 1092)"
170685,23,"Spanish (Mexican)","WS","Third",NA,"Male",NA,"336",TRUE,FALSE,"Marchman","Some Secondary","production",27,TRUE,"All Data",1092,"All Data (n = 1092)"
170686,23,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"337",TRUE,FALSE,"Marchman","College","production",36,TRUE,"All Data",1092,"All Data (n = 1092)"
170687,23,"Spanish (Mexican)","WS","First",NA,"Male",NA,"339",TRUE,FALSE,"Marchman","Secondary","production",596,TRUE,"All Data",1092,"All Data (n = 1092)"
170688,25,"Spanish (Mexican)","WS","Fourth",NA,"Male",NA,"340",TRUE,FALSE,"Marchman",NA,"production",154,TRUE,"All Data",1092,"All Data (n = 1092)"
170689,23,"Spanish (Mexican)","WS","First",NA,"Male",NA,"341",TRUE,FALSE,"Marchman",NA,"production",182,TRUE,"All Data",1092,"All Data (n = 1092)"
170690,25,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"342",TRUE,FALSE,"Marchman","College","production",236,TRUE,"All Data",1092,"All Data (n = 1092)"
170691,23,"Spanish (Mexican)","WS","First",NA,"Female",NA,"343",TRUE,FALSE,"Marchman","Secondary","production",121,TRUE,"All Data",1092,"All Data (n = 1092)"
170692,24,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"344",TRUE,FALSE,"Marchman","Secondary","production",84,TRUE,"All Data",1092,"All Data (n = 1092)"
170693,23,"Spanish (Mexican)","WS",NA,NA,"Female",NA,"345",TRUE,FALSE,"Marchman","Primary","production",113,TRUE,"All Data",1092,"All Data (n = 1092)"
170694,22,"Spanish (Mexican)","WS",NA,NA,"Female",NA,"348",TRUE,FALSE,"Marchman","Some Secondary","production",245,TRUE,"All Data",1092,"All Data (n = 1092)"
170695,24,"Spanish (Mexican)","WS","First",NA,"Male",NA,"350",TRUE,FALSE,"Marchman","Secondary","production",156,TRUE,"All Data",1092,"All Data (n = 1092)"
170696,23,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"351",TRUE,FALSE,"Marchman","College","production",166,TRUE,"All Data",1092,"All Data (n = 1092)"
170697,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"352",TRUE,FALSE,"Marchman","Secondary","production",342,TRUE,"All Data",1092,"All Data (n = 1092)"
170698,24,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"353",TRUE,FALSE,"Marchman","College","production",114,TRUE,"All Data",1092,"All Data (n = 1092)"
170699,22,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"354",TRUE,FALSE,"Marchman","College","production",24,TRUE,"All Data",1092,"All Data (n = 1092)"
170700,23,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"355",TRUE,FALSE,"Marchman","College","production",136,TRUE,"All Data",1092,"All Data (n = 1092)"
170701,23,"Spanish (Mexican)","WS","First",NA,"Female",NA,"356",TRUE,FALSE,"Marchman","Some Secondary","production",81,TRUE,"All Data",1092,"All Data (n = 1092)"
170702,25,"Spanish (Mexican)","WS","First",NA,"Female",NA,"357",TRUE,FALSE,"Marchman","College","production",80,TRUE,"All Data",1092,"All Data (n = 1092)"
170703,26,"Spanish (Mexican)","WS","First",NA,"Male",NA,"358",TRUE,FALSE,"Marchman","Secondary","production",398,TRUE,"All Data",1092,"All Data (n = 1092)"
170704,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"360",TRUE,FALSE,"Marchman","College","production",167,TRUE,"All Data",1092,"All Data (n = 1092)"
170705,24,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"362",TRUE,FALSE,"Marchman","Secondary","production",221,TRUE,"All Data",1092,"All Data (n = 1092)"
170706,25,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"363",TRUE,FALSE,"Marchman","College","production",211,TRUE,"All Data",1092,"All Data (n = 1092)"
170707,23,"Spanish (Mexican)","WS","First",NA,"Female",NA,"364",TRUE,FALSE,"Marchman","Secondary","production",151,TRUE,"All Data",1092,"All Data (n = 1092)"
170708,20,"Spanish (Mexican)","WS","First",NA,"Female",NA,"365",TRUE,FALSE,"Marchman","College","production",242,TRUE,"All Data",1092,"All Data (n = 1092)"
170709,16,"Spanish (Mexican)","WS","First",NA,"Male",NA,"366",TRUE,FALSE,"Marchman","Secondary","production",176,TRUE,"All Data",1092,"All Data (n = 1092)"
170710,17,"Spanish (Mexican)","WS","First",NA,"Female",NA,"367",TRUE,FALSE,"Marchman","College","production",114,TRUE,"All Data",1092,"All Data (n = 1092)"
170711,16,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"368",TRUE,FALSE,"Marchman","Primary","production",127,TRUE,"All Data",1092,"All Data (n = 1092)"
170712,21,"Spanish (Mexican)","WS","Third",NA,"Male",NA,"369",TRUE,FALSE,"Marchman","Secondary","production",100,TRUE,"All Data",1092,"All Data (n = 1092)"
170713,20,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"370",TRUE,FALSE,"Marchman","College","production",115,TRUE,"All Data",1092,"All Data (n = 1092)"
170714,16,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"371",TRUE,FALSE,"Marchman","College","production",180,TRUE,"All Data",1092,"All Data (n = 1092)"
170715,27,"Spanish (Mexican)","WS","First",NA,"Male",NA,"372",TRUE,FALSE,"Marchman","Secondary","production",555,TRUE,"All Data",1092,"All Data (n = 1092)"
170716,26,"Spanish (Mexican)","WS","First",NA,"Male",NA,"373",TRUE,FALSE,"Marchman","College","production",3,TRUE,"All Data",1092,"All Data (n = 1092)"
170717,28,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"374",TRUE,FALSE,"Marchman","College","production",610,TRUE,"All Data",1092,"All Data (n = 1092)"
170718,27,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"375",TRUE,FALSE,"Marchman","College","production",527,TRUE,"All Data",1092,"All Data (n = 1092)"
170719,26,"Spanish (Mexican)","WS","First",NA,"Female",NA,"376",TRUE,FALSE,"Marchman","College","production",423,TRUE,"All Data",1092,"All Data (n = 1092)"
170720,27,"Spanish (Mexican)","WS","First",NA,"Female",NA,"377",TRUE,FALSE,"Marchman","College","production",447,TRUE,"All Data",1092,"All Data (n = 1092)"
170721,21,"Spanish (Mexican)","WS","Fourth",NA,"Female",NA,"378",TRUE,FALSE,"Marchman","Secondary","production",529,TRUE,"All Data",1092,"All Data (n = 1092)"
170722,20,"Spanish (Mexican)","WS","First",NA,"Male",NA,"379",TRUE,FALSE,"Marchman","College","production",334,TRUE,"All Data",1092,"All Data (n = 1092)"
170723,19,"Spanish (Mexican)","WS","Third",NA,"Female",NA,"380",TRUE,FALSE,"Marchman","College","production",319,TRUE,"All Data",1092,"All Data (n = 1092)"
170724,29,"Spanish (Mexican)","WS","First",NA,"Male",NA,"381",TRUE,FALSE,"Marchman","Primary","production",342,TRUE,"All Data",1092,"All Data (n = 1092)"
170725,29,"Spanish (Mexican)","WS","First",NA,"Female",NA,"382",TRUE,FALSE,"Marchman","Secondary","production",301,TRUE,"All Data",1092,"All Data (n = 1092)"
170726,16,"Spanish (Mexican)","WS","First",NA,"Female",NA,"383",TRUE,FALSE,"Marchman","Some Secondary","production",307,TRUE,"All Data",1092,"All Data (n = 1092)"
170727,24,"Spanish (Mexican)","WS","First",NA,"Male",NA,"384",TRUE,FALSE,"Marchman","College","production",339,TRUE,"All Data",1092,"All Data (n = 1092)"
170728,25,"Spanish (Mexican)","WS","First",NA,"Male",NA,"385",TRUE,FALSE,"Marchman","Some Secondary","production",303,TRUE,"All Data",1092,"All Data (n = 1092)"
170729,22,"Spanish (Mexican)","WS","First",NA,"Female",NA,"386",TRUE,FALSE,"Marchman","College","production",250,TRUE,"All Data",1092,"All Data (n = 1092)"
170730,22,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"387",TRUE,FALSE,"Marchman","College","production",334,TRUE,"All Data",1092,"All Data (n = 1092)"
170731,23,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"388",TRUE,FALSE,"Marchman","Secondary","production",401,TRUE,"All Data",1092,"All Data (n = 1092)"
170732,29,"Spanish (Mexican)","WS","First",NA,"Male",NA,"389",TRUE,FALSE,"Marchman","Some Secondary","production",122,TRUE,"All Data",1092,"All Data (n = 1092)"
170733,29,"Spanish (Mexican)","WS","First",NA,"Male",NA,"390",TRUE,FALSE,"Marchman","College","production",307,TRUE,"All Data",1092,"All Data (n = 1092)"
170734,29,"Spanish (Mexican)","WS","First",NA,"Male",NA,"391",TRUE,FALSE,"Marchman","College","production",586,TRUE,"All Data",1092,"All Data (n = 1092)"
170735,22,"Spanish (Mexican)","WS","First",NA,"Female",NA,"392",TRUE,FALSE,"Marchman","College","production",423,TRUE,"All Data",1092,"All Data (n = 1092)"
