"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
172013,15,"Spanish (Mexican)","WG","First",NA,"Male",NA,"713",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172014,16,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"714",TRUE,FALSE,"Marchman","Primary","production",11,TRUE,"All Data",760,"All Data (n = 760)"
172015,15,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"715",TRUE,FALSE,"Marchman","Some Secondary","production",2,TRUE,"All Data",760,"All Data (n = 760)"
172016,15,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"716",TRUE,FALSE,"Marchman","College","production",66,TRUE,"All Data",760,"All Data (n = 760)"
172017,17,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"717",TRUE,FALSE,"Marchman","Secondary","production",7,TRUE,"All Data",760,"All Data (n = 760)"
172018,17,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"719",TRUE,FALSE,"Marchman","College","production",31,TRUE,"All Data",760,"All Data (n = 760)"
172019,16,"Spanish (Mexican)","WG","First",NA,"Female",NA,"720",TRUE,FALSE,"Marchman","College","production",114,TRUE,"All Data",760,"All Data (n = 760)"
172020,15,"Spanish (Mexican)","WG","First",NA,"Male",NA,"721",TRUE,FALSE,"Marchman","College","production",8,TRUE,"All Data",760,"All Data (n = 760)"
172021,14,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"722",TRUE,FALSE,"Marchman","Some Secondary","production",12,TRUE,"All Data",760,"All Data (n = 760)"
172022,16,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"723",TRUE,FALSE,"Marchman","Secondary","production",2,TRUE,"All Data",760,"All Data (n = 760)"
172023,16,"Spanish (Mexican)","WG",NA,NA,"Female",NA,"724",TRUE,FALSE,"Marchman","Secondary","production",8,TRUE,"All Data",760,"All Data (n = 760)"
172024,15,"Spanish (Mexican)","WG","First",NA,"Female",NA,"725",TRUE,FALSE,"Marchman","College","production",20,TRUE,"All Data",760,"All Data (n = 760)"
172025,15,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"726",TRUE,FALSE,"Marchman","Secondary","production",4,TRUE,"All Data",760,"All Data (n = 760)"
172026,14,"Spanish (Mexican)","WG","First",NA,"Female",NA,"727",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172027,14,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"728",TRUE,FALSE,"Marchman","Secondary","production",20,TRUE,"All Data",760,"All Data (n = 760)"
172028,14,"Spanish (Mexican)","WG","First",NA,"Male",NA,"729",TRUE,FALSE,"Marchman","Secondary","production",8,TRUE,"All Data",760,"All Data (n = 760)"
172029,14,"Spanish (Mexican)","WG","First",NA,"Male",NA,"730",TRUE,FALSE,"Marchman","College","production",10,TRUE,"All Data",760,"All Data (n = 760)"
172030,14,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"731",TRUE,FALSE,"Marchman","College","production",7,TRUE,"All Data",760,"All Data (n = 760)"
172031,14,"Spanish (Mexican)","WG","First",NA,"Female",NA,"732",TRUE,FALSE,"Marchman","Secondary","production",4,TRUE,"All Data",760,"All Data (n = 760)"
172032,13,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"733",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172033,14,"Spanish (Mexican)","WG","First",NA,"Female",NA,"734",TRUE,FALSE,"Marchman","College","production",33,TRUE,"All Data",760,"All Data (n = 760)"
172034,14,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"735",TRUE,FALSE,"Marchman","Primary","production",19,TRUE,"All Data",760,"All Data (n = 760)"
172035,13,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"736",TRUE,FALSE,"Marchman","Primary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172036,13,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"737",TRUE,FALSE,"Marchman","College","production",20,TRUE,"All Data",760,"All Data (n = 760)"
172037,13,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"738",TRUE,FALSE,"Marchman","Secondary","production",5,TRUE,"All Data",760,"All Data (n = 760)"
172038,12,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"739",TRUE,FALSE,"Marchman","Secondary","production",5,TRUE,"All Data",760,"All Data (n = 760)"
172039,12,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"740",TRUE,FALSE,"Marchman","Secondary","production",51,TRUE,"All Data",760,"All Data (n = 760)"
172040,14,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"741",TRUE,FALSE,"Marchman","Some Secondary","production",5,TRUE,"All Data",760,"All Data (n = 760)"
172041,13,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"742",TRUE,FALSE,"Marchman","Secondary","production",13,TRUE,"All Data",760,"All Data (n = 760)"
172042,13,"Spanish (Mexican)","WG",NA,NA,"Male",NA,"743",TRUE,FALSE,"Marchman","Secondary","production",29,TRUE,"All Data",760,"All Data (n = 760)"
172043,12,"Spanish (Mexican)","WG","First",NA,"Female",NA,"744",TRUE,FALSE,"Marchman","Secondary","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172044,11,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"745",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172045,12,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"746",TRUE,FALSE,"Marchman","Some Secondary","production",12,TRUE,"All Data",760,"All Data (n = 760)"
172046,11,"Spanish (Mexican)","WG","First",NA,"Male",NA,"747",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172047,12,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"748",TRUE,FALSE,"Marchman","Secondary","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172048,12,"Spanish (Mexican)","WG","First",NA,"Female",NA,"749",TRUE,FALSE,"Marchman","Secondary","production",80,TRUE,"All Data",760,"All Data (n = 760)"
172049,13,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"750",TRUE,FALSE,"Marchman","Secondary","production",6,TRUE,"All Data",760,"All Data (n = 760)"
172050,10,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"751",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172051,11,"Spanish (Mexican)","WG",NA,NA,"Male",NA,"752",TRUE,FALSE,"Marchman","Some Secondary","production",4,TRUE,"All Data",760,"All Data (n = 760)"
172052,10,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"753",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172053,11,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"754",TRUE,FALSE,"Marchman","College","production",3,TRUE,"All Data",760,"All Data (n = 760)"
172054,9,"Spanish (Mexican)","WG","First",NA,"Female",NA,"755",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172055,9,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"756",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172056,9,"Spanish (Mexican)","WG","First",NA,"Female",NA,"757",TRUE,FALSE,"Marchman","College","production",32,TRUE,"All Data",760,"All Data (n = 760)"
172057,9,"Spanish (Mexican)","WG","Seventh",NA,"Male",NA,"758",TRUE,FALSE,"Marchman","Primary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172058,10,"Spanish (Mexican)","WG","First",NA,"Male",NA,"759",TRUE,FALSE,"Marchman","Some Secondary","production",1,TRUE,"All Data",760,"All Data (n = 760)"
172059,9,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"760",TRUE,FALSE,"Marchman","Some Secondary","production",3,TRUE,"All Data",760,"All Data (n = 760)"
172060,10,"Spanish (Mexican)","WG","First",NA,"Male",NA,"761",TRUE,FALSE,"Marchman","None","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172061,11,"Spanish (Mexican)","WG","First",NA,"Female",NA,"762",TRUE,FALSE,"Marchman","Secondary","production",6,TRUE,"All Data",760,"All Data (n = 760)"
172062,11,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"763",TRUE,FALSE,"Marchman","College","production",1,TRUE,"All Data",760,"All Data (n = 760)"
172063,10,"Spanish (Mexican)","WG","First",NA,"Female",NA,"765",TRUE,FALSE,"Marchman","Primary","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172064,9,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"766",TRUE,FALSE,"Marchman","Secondary","production",1,TRUE,"All Data",760,"All Data (n = 760)"
172065,8,"Spanish (Mexican)","WG","First",NA,"Female",NA,"767",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172066,9,"Spanish (Mexican)","WG","First",NA,"Female",NA,"768",TRUE,FALSE,"Marchman","Some Secondary","production",5,TRUE,"All Data",760,"All Data (n = 760)"
172067,8,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"769",TRUE,FALSE,"Marchman","Some Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172068,9,"Spanish (Mexican)","WG","First",NA,"Male",NA,"770",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172069,8,"Spanish (Mexican)","WG","Sixth",NA,"Male",NA,"771",TRUE,FALSE,"Marchman","None","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172070,8,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"772",TRUE,FALSE,"Marchman","Some Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172071,11,"Spanish (Mexican)","WG","First",NA,"Female",NA,"774",TRUE,FALSE,"Marchman","College","production",6,TRUE,"All Data",760,"All Data (n = 760)"
